,Pro I,Anti I,Code,,Reasons and Scholars,H Pro,H Anti,Y Pro,Y Anti,M Pro,M Anti,,,,,,,,,
Abū Ḥanīfa,62,21,h,,a,0,0,0,0,0,0,,,,,,,,,
Abū Yūsuf,51,24,y,,b,0,1,2,0,1,0,,,,,,,,,
al-Shaybānī,37,44,m,,c,5,1,2,2,2,2,,,,,,,,,
,,,,,d,0,0,0,0,0,0,,,,,,,,,
,,,,,e,1,0,1,0,1,0,,,,,,,,,
,,,,,f,6,0,4,0,4,0,,,,,,,,,
,,,,,g,0,0,0,0,0,0,,,,,,,,,
,,,,,h,4,0,1,1,0,2,,,,,,,,,
,,,,,i,0,1,2,0,1,1,,,,,,,,,
,,,,,j,1,0,0,0,1,0,,,,,,,,,
,,,,,k,0,3,4,0,1,3,,,,,,,,,
,,,,,l,2,1,1,2,1,2,,,,,,,,,
,,,,,m,5,1,2,3,1,4,,,,,,,,,
,,,,,n,0,0,0,0,0,0,,,,,,,,,
,,,,,o,1,0,1,1,1,1,,,,,,,,,
,,,,,p,1,1,0,2,1,1,,,,,,,,,
,,,,,q,1,0,1,1,1,1,,,,,,,,,
,,,,,r,1,2,4,0,2,3,,,,,,,,,
,,,,,s,4,0,1,1,1,1,,,,,,,,,
,,,,,t,1,0,0,1,0,1,,,,,,,,,
,,,,,u,1,1,3,0,2,1,,,,,,,,,
,,,,,v,1,0,1,0,1,0,,,,,,,,,
,,,,,x,1,0,2,0,0,2,,,,,,,,,
,,,,,y,0,0,0,0,0,0,,,,,,,,,
,,,,,z,0,0,0,0,0,0,,,,,,,,,
,,,,,ا,0,0,0,0,0,0,,,,,,,,,
,,,,,ب,0,1,1,0,1,0,,,,,,,,,
,,,,,ت,0,0,0,0,0,0,,,,,,,,,
,,,,,ث,0,1,1,0,0,1,,,,,,,,,
,,,,,ج,0,0,0,0,0,0,,,,,,,,,
,,,,,ح,1,1,2,1,2,0,,,,,,,,,
,,,,,خ,0,0,0,0,0,0,,,,,,,,,
,,,,,د,2,1,2,1,2,2,,,,,,,,,
,,,,,ذ,1,0,0,1,0,1,,,,,,,,,
,,,,,ر,1,0,1,0,0,1,,,,,,,,,
,,,,,ق,0,0,0,0,0,0,,,,,,,,,
,,,,,م ,0,0,0,0,0,0,,,,,,,,,
,,,,,ن,1,1,2,0,0,1,,,,,,,,,
,,,,,ز,0,0,0,0,0,0,,,,,,,,,