,Count,%,Code,,Reasons and Lenience,Strictness,Lenience,N/A,,Proof (1),,,,,,,,,,,
Lenient,210,46.2%,l,,m,1,7,6,,0,,,,,,,,,,,
Strict,71,15.6%,s,,s,4,7,4,,,,,,,,,,,,,
N/A,174,38.2%,n,,k,10,22,19,,,,,,,,,,,,,
,455,,,,r,0,19,4,,,,,,,,,,,,,
,,,,,x,1,8,11,,,,,,,,,,,,,
,,,,,f,0,10,12,,,,,,,,,,,,,
,,,,,y,0,6,0,,,,,,,,,,,,,
,,,,,l,0,1,7,,,,,,,,,,,,,
,,,,,n,0,4,0,,,,,,,,,,,,,
,,,,,j,2,7,1,,,,,,,,,,,,,
,,,,,p,9,0,1,,,,,,,,,,,,,
,,,,,w,0,0,0,,,,,,,,,,,,,
,,,,,u,0,10,0,,,,,,,,,,,,,
,,,,,a,9,1,1,,,,,,,,,,,,,
,,,,,c,1,9,3,,,,,,,,,,,,,
,,,,,h,1,7,5,,,,,,,,,,,,,
,,,,,z,3,0,2,,,,,,,,,,,,,
,,,,,ن,5,5,5,,,,,,,,,,,,,
,,,,,i,4,2,3,,,,,,,,,,,,,
,,,,,t,0,7,1,,,,,,,,,,,,,
,,,,,b,1,1,0,,,,,,,,,,,,,
,,,,,q,3,5,2,,,,,,,,,,,,,
,,,,,g,2,0,3,,,,,,,,,,,,,
,,,,,v,0,2,2,,,,,,,,,,,,,
,,,,,o,5,1,0,,,,,,,,,,,,,
,,,,,ق,0,2,0,,,,,,,,,,,,,
,,,,,d,0,0,0,,,,,,,,,,,,,
,,,,,e,0,1,0,,,,,,,,,,,,,
,,,,,م ,1,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,"Lenience defined as allowing one to do something that was haram, or allowing one to not do something that was wajib, or relieving liability from one previously liable. ",,,,,,,,,,,,,,,,
,,,,,"Strictness defined as making something wajib or haram that was previously ja'iz, or making one liable when previously wasn't.",,,,,,,,,,,,,,,,