Word Used,Code,Count,Notes,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
استحسن,i,274,1st person,,18,0,2,0,3,0,0,0,3,19,5,1,3,6,17,4,8,1,4,5,4,1,0
استحسان,a,39,,,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0
نستحسن,k,37,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,3,1,0,0,0
استحسنت,v,33,1st person,,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,2,1,0,0
الاستحسان,b,32,,,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,1,0,0
بالإستحسان,w,23,,,1,1,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,2,1,0,0,0
استحسنا,e,10,,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
استحسن,c,7,3rd person,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
استحسانا,d,5,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
يستحسن,j,4,3rd person,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
يستحسن,p,4,passive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
استحسنه,x,2,1st or 3rd?,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
استحسنوا,h,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
استحسنا,ر,1,dual,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0